ticker,name,sector,most_recent_quarter,price_from,roc,earnings_yield,book_market_ratio,roc_rank,earnings_yield_rank,magic_rank
SNA,Snap-on Incorporated,Industrials,2022-12-31,2023-03-18,0.5552248089568154,0.09759035996148906,0.3648442219729007,263,233,496
XOM,Exxon Mobil Corporation,Energy,2022-12-31,2023-03-18,0.38256723454409086,0.18238455675609055,0.4785957532051282,410,86,496
BC,Brunswick Corporation,Consumer Cyclical,2022-12-31,2023-03-18,0.45155627253748337,0.12472353966555695,0.3766021844979603,344,153,497
WMS,"Advanced Drainage Systems, Inc.",Industrials,2022-12-31,2023-03-18,0.6389594484897229,0.09132224148657678,0.16555066079295155,236,262,498
VSH,"Vishay Intertechnology, Inc.",Technology,2022-12-31,2023-03-18,0.3458064384599615,0.22334990174965716,0.6921904761904761,446,53,499
NOG,"Northern Oil and Gas, Inc.",Energy,2022-12-31,2023-03-18,0.3450239757447463,0.22547408828233817,0.33294162244124337,447,52,499
AMAT,"Applied Materials, Inc.",Technology,2023-01-31,2023-03-18,0.905688622754491,0.07451086336215043,0.12951876019575856,139,362,501
RES,"RPC, Inc.",Energy,2022-12-31,2023-03-18,0.3764544441691883,0.18234159756755708,0.5261780104712042,415,87,502
OC,Owens Corning,Industrials,2022-12-31,2023-03-18,0.39718764407561086,0.1637882172380142,0.5543652561247215,397,108,505
MTH,Meritage Homes Corporation,Consumer Cyclical,2022-12-31,2023-03-18,0.31639469370527784,0.29878509403927483,0.986544258701014,483,22,505
PDCE,"PDC Energy, Inc.",Energy,2022-12-31,2023-03-18,0.3146934340109013,0.31451239917685897,0.7714359682430101,487,19,506
SM,SM Energy Company,Energy,2022-12-31,2023-03-18,0.31050268709683565,0.32181695190613263,0.9994075829383886,489,17,506
HOLX,"Hologic, Inc.",Healthcare,2022-12-31,2023-03-18,1.1410930110352075,0.0661198453989581,0.26800311405216043,87,420,507
KTB,"Kontoor Brands, Inc.",Consumer Cyclical,2022-12-31,2023-03-18,0.5242672873974765,0.09890224698843406,0.09149280939842011,283,227,510
BSM,"Black Stone Minerals, L.P.",Energy,2022-12-31,2023-03-18,0.39358480075200536,0.1600287167160881,0.30419287211740037,402,110,512
ARCB,ArcBest Corporation,Industrials,2022-12-31,2023-03-18,0.3748027137610424,0.16769605051185632,0.5370818264014466,416,98,514
CEIX,CONSOL Energy Inc.,Energy,2022-12-31,2023-03-18,0.3084335949313907,0.2997421162896382,0.6297297297297297,494,21,515
PII,Polaris Inc.,Consumer Cyclical,2022-12-31,2023-03-18,0.4573451910408432,0.11122419116005904,0.18184476091672166,336,181,517
PHM,"PulteGroup, Inc.",Consumer Cyclical,2022-12-31,2023-03-18,0.32154719158937767,0.24159568250788005,0.7122158065680259,473,48,521
IPG,"The Interpublic Group of Companies, Inc.",Communication Services,2022-12-31,2023-03-18,0.6574668670583413,0.08433175085063795,0.2798102579306256,228,294,522
PRM,"Perimeter Solutions, SA",Basic Materials,2022-12-31,2023-03-18,0.7555526733893194,0.07743241390628998,0.9696929238985313,184,343,527
SMCI,"Super Micro Computer, Inc.",Technology,2022-12-31,2023-03-18,0.39516964122555887,0.1382796154193427,0.35661780104712043,399,130,529
TXN,Texas Instruments Incorporated,Technology,2022-12-31,2023-03-18,1.0964151952915997,0.0644641451663786,0.09156564794263274,95,438,533
PARR,"Par Pacific Holdings, Inc.",Energy,2022-12-31,2023-03-18,0.34281103992301554,0.1863595847161598,0.39951274362818595,450,83,533
GMS,GMS Inc.,Industrials,2023-01-31,2023-03-18,0.3708783219669609,0.15513660858252007,0.5633043149129447,423,112,535
CR,"Crane Holdings, Co.",Industrials,2022-12-31,2023-03-18,0.5188554416142904,0.09452760784705101,0.30679814596019267,290,246,536
EME,"EMCOR Group, Inc.",Industrials,2022-12-31,2023-03-18,0.7518927169016103,0.07474066096565574,0.2581296758104738,186,358,544
ASGN,ASGN Incorporated,Technology,2022-12-31,2023-03-18,0.6721930400525279,0.07979593367124106,0.4770835921003601,222,324,546
AGCO,AGCO Corporation,Industrials,2022-12-31,2023-03-18,0.4096770755621869,0.12126740320996154,0.437327731092437,389,157,546
AN,"AutoNation, Inc.",Consumer Cyclical,2022-12-31,2023-03-18,0.32664803016512806,0.19023948877243757,0.33962070327933624,468,78,546
AMED,"Amedisys, Inc.",Healthcare,2022-12-31,2023-03-18,1.086964550582881,0.06346923595016399,0.445181718061674,98,449,547
CVX,Chevron Corporation,Energy,2022-12-31,2023-03-18,0.3448181099927862,0.16708795616927735,0.5459301562294867,448,99,547
PLAB,"Photronics, Inc.",Technology,2023-01-31,2023-03-18,0.29947855643212357,0.26363450947141004,0.9149362477231331,512,36,548
CHH,"Choice Hotels International, Inc.",Consumer Cyclical,2022-12-31,2023-03-18,0.9626171968105243,0.0654633700786952,0.025884188626907074,123,427,550
HAYW,"Hayward Holdings, Inc.",Industrials,2022-12-31,2023-03-18,0.5852279246643828,0.08287600955563199,0.5077396657871592,249,304,553
PXD,Pioneer Natural Resources Company,Energy,2022-12-31,2023-03-18,0.3101254149760236,0.2086746626728016,0.5245701730293876,490,63,553
BDC,Belden Inc.,Technology,2022-12-31,2023-03-18,0.530270242476329,0.08767735864558429,0.3256253813300793,277,277,554
SEE,Sealed Air Corporation,Consumer Cyclical,2022-12-31,2023-03-18,0.4964922940949014,0.09361306215027106,0.053922902494331064,306,249,555
GPI,"Group 1 Automotive, Inc.",Consumer Cyclical,2022-12-31,2023-03-18,0.30701853207908525,0.21508307740032145,0.8022980501392758,499,56,555
SSNC,"SS&C Technologies Holdings, Inc.",Technology,2022-12-31,2023-03-18,1.7999091184489548,0.056738172890379336,0.44702060516057174,49,507,556
AVGO,Broadcom Inc.,Technology,2023-01-31,2023-03-18,4.620928829915561,0.05244192666232593,0.08859216761494207,7,550,557
CHRD,Chord Energy Corporation,Energy,2022-12-31,2023-03-18,0.2932071461522227,0.26437819122421763,0.9285490906098264,524,35,559
