ticker,sector,country,longName,currency,marketCap,regularMarketPrice,regularMarketTime,bookValue,asOfDate,EBIT,TotalAssets,TotalDebt,LongTermDebtAndCapitalLeaseObligation,CurrentAssets,CurrentLiabilities,NetPPE,CashCashEquivalentsAndShortTermInvestments,MinorityInterest,PreferredStock
1440.TW,Consumer Cyclical,Taiwan,"Tainan Spinning Co., Ltd.",TWD,24520935424,14.8,2023-09-08 13:30:31,16.317,2023-09-30,-825904000.0,49630161000.0,14979789000.0,6545859000.0,13321188000.0,11489025000.0,21769841000.0,6053100000.0,358487000.0,
1441.TW,Consumer Cyclical,Taiwan,大東,TWD,911448000,14.4,2023-12-15 13:30:32,6.587,2023-09-30,-349065000.0,1929039000.0,1052519000.0,106557000.0,652805000.0,1243585000.0,956818000.0,50326000.0,23159000.0,
1442.TW,Real Estate,Taiwan,名軒,TWD,13952676864,38.1,2023-12-15 13:30:29,15.625,2023-09-30,891245000.0,19350825000.0,10528688000.0,2910008000.0,18760459000.0,10586591000.0,24199000.0,727706000.0,,
1443.TW,Consumer Cyclical,Taiwan,立益,TWD,3904645888,28.85,2023-12-15 13:30:32,13.647,2023-09-30,241753000.0,6911972000.0,4043390000.0,1847241000.0,556904000.0,3117151000.0,4827594000.0,300255000.0,-403902000.0,
1444.TW,Consumer Cyclical,Taiwan,力麗,TWD,10336095232,10.5,2023-12-15 13:30:26,11.135,2023-09-30,-286454000.0,19643185000.0,5128320000.0,1336315000.0,6669987000.0,5559876000.0,7430312000.0,1895495000.0,1348629000.0,
1445.TW,Consumer Cyclical,Taiwan,大宇,TWD,2698252800,20.65,2023-12-15 13:30:21,13.394,2023-09-30,72545000.0,2574849000.0,103457000.0,124000.0,1482042000.0,679842000.0,651611000.0,296798000.0,,
1446.TW,Consumer Cyclical,Taiwan,宏和,TWD,5232979968,38.0,2023-12-15 13:30:21,10.052,2023-09-30,-32329000.0,4908976000.0,3288496000.0,2726852000.0,4335400000.0,791691000.0,35229000.0,345657000.0,0.0,
1447.TW,Consumer Cyclical,Taiwan,力鵬,TWD,6887652864,8.17,2023-12-15 13:30:37,11.073,2023-09-30,-409987000.0,19577760000.0,5887864000.0,1936776000.0,9176588000.0,6942731000.0,5237008000.0,2849279000.0,975260000.0,
1449.TW,Consumer Cyclical,Taiwan,佳和,TWD,1853171328,21.7,2023-12-15 13:30:27,19.896,2023-09-30,210684000.0,6076244000.0,3396989000.0,1940015000.0,2160380000.0,2034787000.0,911781000.0,424202000.0,56509000.0,
1451.TW,Consumer Cyclical,Taiwan,年興,TWD,3952368384,19.15,2023-12-15 13:30:17,34.4,2023-09-30,-340215000.0,8398216000.0,267970000.0,35561000.0,5591612000.0,939539000.0,1423355000.0,1757465000.0,,
1452.TW,Consumer Cyclical,Taiwan,宏益,TWD,2274793216,17.15,2023-12-15 13:30:27,19.974,2023-09-30,20002000.0,2804010000.0,25551000.0,0.0,1991406000.0,103727000.0,500127000.0,1510922000.0,,
1453.TW,Consumer Cyclical,Taiwan,大將,TWD,1590455808,14.9,2023-12-15 13:30:15,12.911,2023-09-30,4947000.0,2131561000.0,184405000.0,158936000.0,1937826000.0,581138000.0,98224000.0,416934000.0,13240000.0,
1454.TW,Consumer Cyclical,Taiwan,台富,TWD,2045510016,16.75,2023-12-15 13:30:30,13.078,2023-09-30,7163000.0,1909861000.0,118692000.0,2502000.0,1029242000.0,257192000.0,796097000.0,370661000.0,24000.0,
1455.TW,Consumer Cyclical,Taiwan,集盛,TWD,6114412032,11.5,2023-12-15 13:30:33,11.775,2023-09-30,-447210000.0,9770977000.0,2539691000.0,1303376000.0,3666082000.0,1987515000.0,4908965000.0,723744000.0,,
1456.TW,Real Estate,Taiwan,怡華,TWD,1551065984,16.55,2023-12-15 13:30:31,16.978,2023-09-30,411657000.0,12071259000.0,10105650000.0,2597314000.0,9582414000.0,7757911000.0,76164000.0,562724000.0,,
1457.TW,Consumer Cyclical,Taiwan,宜進,TWD,4214461440,18.95,2023-12-15 13:30:22,22.138,2023-09-30,244265000.0,19459638000.0,10277183000.0,8049786000.0,2530835000.0,2799325000.0,3334321000.0,1252033000.0,3409967000.0,
1459.TW,Consumer Cyclical,Taiwan,聯發,TWD,3206598656,10.1,2023-12-15 13:30:28,8.842,2023-09-30,158287000.0,4650237000.0,1609988000.0,571988000.0,1453386000.0,1231768000.0,2075982000.0,1111726000.0,0.0,
1460.TW,Consumer Cyclical,Taiwan,宏遠,TWD,5092211200,7.55,2023-12-15 13:30:05,9.666,2023-09-30,78198000.0,13551048000.0,5780769000.0,948892000.0,7646492000.0,5868931000.0,5714360000.0,455180000.0,6000.0,
1463.TW,Consumer Cyclical,Taiwan,強盛,TWD,2885096960,17.55,2023-12-15 13:30:07,13.313,2023-09-30,156781000.0,2889571000.0,102000.0,0.0,1487765000.0,390429000.0,445591000.0,845834000.0,105558000.0,
1464.TW,Consumer Cyclical,Taiwan,得力,TWD,5441994240,13.35,2023-12-15 13:30:18,12.771,2023-09-30,344407000.0,16250626000.0,8424537000.0,3932534000.0,8777907000.0,5857999000.0,5963806000.0,2611919000.0,536116000.0,
1465.TW,Consumer Cyclical,Taiwan,偉全,TWD,1466039040,14.15,2023-12-15 13:30:32,15.779,2023-09-30,76665000.0,1932870000.0,48229000.0,,638442000.0,173990000.0,427055000.0,314826000.0,,
1466.TW,Consumer Cyclical,Taiwan,聚隆,TWD,1495061632,13.45,2023-12-15 13:30:25,13.096,2023-09-30,-192314000.0,3550320000.0,1616187000.0,1211869000.0,1552419000.0,856733000.0,1840859000.0,307136000.0,0.0,
1467.TW,Consumer Cyclical,Taiwan,南緯,TWD,2628281088,11.25,2023-12-15 13:30:11,12.446,2023-09-30,-50716000.0,8570538000.0,4219593000.0,2157834000.0,4452032000.0,3162035000.0,2193817000.0,2296634000.0,146008000.0,
1468.TW,Consumer Cyclical,Taiwan,昶和,TWD,2382014208,14.85,2023-12-15 13:30:35,7.851,2023-09-30,-11178000.0,2889463000.0,959658000.0,0.0,1648451000.0,1490386000.0,741552000.0,234728000.0,54055000.0,
1470.TW,Consumer Cyclical,Taiwan,大統新創,TWD,1629572992,19.0,2023-12-14 13:30:38,11.488,2023-09-30,57151000.0,1132464000.0,60906000.0,7151000.0,642833000.0,134704000.0,421467000.0,442174000.0,,
1471.TW,Technology,Taiwan,Solytech Enterprise Corporation,TWD,3233922560,21.5,2023-09-08 13:30:22,9.718,2023-09-30,-56081000.0,1673342000.0,8758000.0,503000.0,1392820000.0,97675000.0,53112000.0,1237984000.0,74744000.0,
1472.TW,Consumer Cyclical,Taiwan,三洋實業,TWD,2821203200,66.4,2023-12-15 13:30:09,32.179,2023-09-30,113156000.0,2171277000.0,389385000.0,23955000.0,1564553000.0,709577000.0,134807000.0,983077000.0,,
1473.TW,Consumer Cyclical,Taiwan,台南,TWD,4275004416,29.25,2023-12-15 13:30:16,25.724,2023-09-30,371521000.0,5387730000.0,638633000.0,27014000.0,3341258000.0,1405500000.0,1232548000.0,1127562000.0,,
