ticker,sector,marketCap,asOfDate,currencyCode,TotalDebt,LongTermDebt,CurrentAssets,CurrentLiabilities,NetPPE,EBIT,CashCashEquivalentsAndShortTermInvestments,enterpriseValue,priceToBook
1903.TW,,,2021-12-31,TWD,2334434000.0,320000.0,6712149000.0,2370771000.0,1308210000.0,-22246000.0,6619728000.0,,
1904.TW,,,2021-12-31,TWD,22566582000.0,16655389000.0,25886481000.0,17916038000.0,36170272000.0,932407000.0,7075052000.0,,
1905.TW,,,2021-12-31,TWD,10488003000.0,792992000.0,14411937000.0,13203844000.0,16911917000.0,-224889000.0,2409260000.0,,
1906.TW,,,2021-12-31,TWD,1513831000.0,,318473000.0,1813498000.0,41396000.0,37693000.0,17704000.0,,
1907.TW,,,2021-12-31,TWD,46545321000.0,26519989000.0,56622662000.0,39516720000.0,50439788000.0,1170742000.0,21933370000.0,,
1909.TW,,,2021-12-31,TWD,40127858000.0,20066260000.0,22744440000.0,29765420000.0,46300521000.0,846636000.0,1618952000.0,,
2002.TW,,,2021-12-31,TWD,186837957000.0,103171986000.0,210015348000.0,161930745000.0,383152018000.0,22884628000.0,42960728000.0,,
2006.TW,,,2021-12-31,TWD,16349583000.0,1817857000.0,31394169000.0,22993691000.0,18420636000.0,1886747000.0,1726138000.0,,
2007.TW,,,2021-12-31,TWD,5034914000.0,2153136000.0,3074824000.0,3541478000.0,4853306000.0,11741000.0,646064000.0,,
2008.TW,,,2021-12-31,TWD,3973603000.0,700000000.0,2228510000.0,3399559000.0,1529701000.0,22225000.0,1363315000.0,,
