ticker,name,sector,most_recent_quarter,price_from,roc,earnings_yield,book_market_ratio,roc_rank,earnings_yield_rank,magic_rank
1907.TW,永豐餘,Basic Materials,2022-06-30,2022-10-07,0.07367660901394117,0.10438222333161534,1.2741129032258063,137,82,219
1216.TW,統一,Consumer Defensive,2022-06-30,2022-10-07,0.1327871118813509,0.07531461762492005,0.3039269406392694,117,104,221
4128.TWO,中天,Consumer Defensive,2022-06-30,2022-10-07,0.22532992323222506,0.01524203344378832,0.3582790697674419,85,141,226
2412.TW,中華電,Communication Services,2022-06-30,2022-10-07,0.15902833636202302,0.05430901770218517,0.42271493212669686,111,117,228
6116.TW,彩晶,Technology,2022-06-30,2022-10-07,0.08075256944854599,0.07641106342148213,1.3433469387755101,132,102,234
1210.TW,大成,Consumer Defensive,2022-06-30,2022-10-07,0.07166809740432338,0.07771664050146602,0.5284916201117318,138,98,236
2207.TW,和泰車,Consumer Cyclical,2022-06-30,2022-10-07,0.07911256492447791,0.06681643231255241,0.20610726643598615,133,109,242
5904.TWO,寶雅,Consumer Cyclical,2022-06-30,2022-10-07,0.12376888587707961,0.044688065298830126,0.11649566294919454,120,125,245
1402.TW,遠東新,Consumer Cyclical,2022-06-30,2022-10-07,0.07380986449938913,0.058904348761568665,1.2007165109034268,136,112,248
1101.TW,台泥,Basic Materials,2022-06-30,2022-10-07,0.07709021251459582,0.0562046376239121,0.8605547445255475,134,115,249
2912.TW,統一超,Consumer Defensive,2022-06-30,2022-10-07,0.10925209477195653,0.038377894824069086,0.10716363636363636,125,128,253
2105.TW,正新,Consumer Cyclical,2022-06-30,2022-10-07,0.06656869373775284,0.05683296674917613,0.7102695035460993,139,114,253
6285.TW,啟碁,Technology,2022-06-30,2022-10-07,0.07554984345049788,0.052685820675172426,0.4983561643835617,135,119,254
2371.TW,大同,Industrials,2022-06-30,2022-10-07,0.0915202524596278,0.041204147411730986,0.5250759878419453,129,127,256
6589.TWO,台康生技,Healthcare,2022-06-30,2022-10-07,0.1433685242484069,0.013016620759170294,0.3090087719298245,114,143,257
2634.TW,漢翔,Industrials,2022-06-30,2022-10-07,0.05074919189978512,0.037010303877324076,0.4728550074738415,140,130,270
5903.TWO,全家,Consumer Cyclical,2022-06-30,2022-10-06,0.03315990393991764,0.021701563562938245,0.1369287598944591,141,138,279
1314.TW,中石化,Basic Materials,2022-06-30,2022-10-07,0.01690029101325674,0.02901872277936426,2.150882658359294,144,137,281
3576.TW,聯合再生,Technology,2022-06-30,2022-10-07,0.031220707081731063,0.01391910393370366,0.45944700460829496,142,142,284
2498.TW,宏達電,Technology,2022-06-30,2022-10-07,-0.28791113673714935,-0.07665748644293717,0.5802325581395349,145,146,291
6446.TWO,藥華藥,Healthcare,2022-06-30,2022-10-07,-1.29848684153404,-0.017524689372782204,0.040545641025641024,146,145,291
